,tmp36,mcp9808
timestamp,temperature C,temperature C
262.00309109687805,-15.282939189189186,-9.875
263.000422000885,-15.021642736486484,-9.9375
264.00271701812744,-15.108741554054049,-10.0
265.0028820037842,-15.80553209459459,-10.0
266.0024070739746,-15.108741554054049,-10.125
267.00163412094116,-15.457136824324323,-10.0625
268.00401616096497,-15.457136824324323,-10.1875
269.00178503990173,-14.760346283783782,-10.25
270.00104212760925,-15.282939189189186,-10.25
271.0005609989166,-15.282939189189186,-10.3125
272.0006160736084,-15.457136824324323,-10.375
273.00155901908875,-15.370038006756758,-10.375
274.00193905830383,-15.457136824324323,-10.375
275.0005600452423,-15.370038006756758,-10.375
276.0045311450958,-15.457136824324323,-10.4375
277.0012631416321,-15.63133445945946,-10.5
278.0024139881134,-15.979729729729726,-10.5
279.0031201839447,-15.108741554054049,-10.5
280.0016222000122,-15.80553209459459,-10.6875
281.0060610771179,-15.892630912162161,-10.6875
282.0058400630951,-15.457136824324323,-10.75
283.00086402893066,-15.718433277027025,-10.75
284.0026831626892,-15.718433277027025,-10.8125
285.0059452056885,-16.0668285472973,-10.8125
286.0036242008209,-15.718433277027025,-10.875
287.0016031265259,-16.0668285472973,-10.9375
288.0031900405884,-16.0668285472973,-10.875
289.00232005119324,-16.415223817567565,-11.0
290.0057120323181,-15.80553209459459,-11.0625
291.00180411338806,-15.892630912162161,-11.0625
292.00302720069885,-15.80553209459459,-11.125
293.00232219696045,-16.0668285472973,-11.25
294.0035560131073,-15.718433277027025,-11.25
295.0050702095032,-17.373310810810807,-11.25
296.00415802001953,-15.544235641891888,-11.3125
297.0039391517639,-16.153927364864863,-11.3125
298.00554609298706,-16.850717905405403,-11.375
299.0049669742584,-16.241026182432428,-11.375
300.00181913375854,-16.241026182432428,-11.4375
301.00181913375854,-16.5894214527027,-11.5
302.00433015823364,-16.153927364864863,-11.4375
303.0008451938629,-16.241026182432428,-11.5
304.00061297416687,-16.153927364864863,-11.5625
305.00543212890625,-16.50232263513513,-11.625
306.00148701667786,-16.50232263513513,-11.6875
307.00051617622375,-16.5894214527027,-11.6875
308.004182100296,-16.5894214527027,-11.6875
309.00502610206604,-16.676520270270267,-11.75
310.00143599510193,-15.979729729729726,-11.8125
311.0051460266113,-17.112014358108105,-11.8125
312.0036070346832,-16.415223817567565,-11.8125
313.0039060115814,-16.153927364864863,-11.875
314.00219202041626,-16.76361908783784,-11.875
315.00652503967285,-16.5894214527027,-11.875
316.0052351951599,-16.76361908783784,-11.9375
317.0040180683136,-16.850717905405403,-12.0625
318.00592017173767,-17.02491554054054,-12.0625
319.00011920928955,-16.850717905405403,-12.1875
320.0040590763092,-16.850717905405403,-12.125
321.00093817710876,-16.850717905405403,-12.1875
322.00411319732666,-16.850717905405403,-12.1875
323.0055902004242,-17.895903716216218,-12.25
324.0047860145569,-17.112014358108105,-12.25
325.00007915496826,-17.112014358108105,-12.25
326.0049500465393,-17.19911317567567,-12.25
327.00314807891846,-16.676520270270267,-12.3125
