time (sec),mcp9808: 1,tmp36: 0
,temperature C,temperature C
325.0049591064453,8.8125,20.8134765625
326.003466129303,8.8125,20.78125
327.0037040710449,8.875,20.845703125
328.0001859664917,8.875,20.716796875
329.00435495376587,8.875,20.587890625
330.00183296203613,8.875,20.8134765625
331.00113892555237,8.875,20.8779296875
332.0052490234375,8.9375,20.8779296875
333.00388193130493,8.9375,20.9423828125
334.00343108177185,8.9375,20.78125
335.0054121017456,9.0,20.845703125
336.0036189556122,9.0,20.8779296875
337.0055480003357,9.0625,17.55859375
338.0013349056244,9.125,20.8779296875
339.00491404533386,9.1875,20.9423828125
340.00384497642517,9.1875,20.9423828125
341.00297808647156,9.25,20.845703125
342.00023007392883,9.25,20.5556640625
343.0021140575409,9.25,20.9423828125
344.0058319568634,9.3125,21.0390625
345.001060962677,9.375,21.0712890625
346.0057361125946,9.375,20.9423828125
347.0034410953522,9.4375,21.103515625
348.00348591804504,9.5,21.1357421875
349.00191712379456,9.625,21.0712890625
350.00548791885376,9.625,21.103515625
351.00529503822327,9.625,21.0390625
352.0014989376068,9.625,21.103515625
353.00564908981323,9.6875,21.103515625
354.00456404685974,9.6875,21.232421875
355.0036790370941,9.75,21.1357421875
356.00151801109314,9.75,21.2001953125
357.000874042511,9.8125,21.3291015625
358.00372195243835,9.8125,21.232421875
359.00517892837524,9.75,21.2001953125
360.00012397766113,9.8125,21.1357421875
361.00507497787476,9.875,21.232421875
362.00342202186584,9.8125,21.3291015625
363.00228905677795,9.9375,21.232421875
364.003457069397,9.9375,21.2646484375
365.005499124527,10.0,21.2646484375
366.0039291381836,10.0,21.296875
367.0017309188843,10.0,21.232421875
368.00045895576477,10.0,21.2646484375
369.00395798683167,10.0,21.296875
370.0025370121002,10.0625,21.296875
371.0007150173187,10.0,21.2001953125
372.0047450065613,10.0625,21.3291015625
373.0041060447693,10.125,21.3291015625
374.0031499862671,10.125,21.3291015625
375.0060451030731,10.125,21.296875
376.0046010017395,10.125,21.296875
377.0025029182434,10.1875,21.2646484375
378.00132513046265,10.25,21.361328125
379.00086212158203,10.1875,21.3291015625
380.0038619041443,10.25,21.361328125
381.00266695022583,10.25,21.3935546875
382.0008420944214,10.25,21.3291015625
383.0034840106964,10.3125,21.296875
384.00308203697205,10.3125,21.3935546875
385.0020830631256,10.3125,21.361328125
386.00031304359436,10.375,21.42578125
387.0053551197052,10.375,21.42578125
388.0027530193329,10.375,21.490234375
389.00258708000183,10.4375,21.490234375
390.00135803222656,10.5,21.490234375
391.00411200523376,10.4375,21.5869140625
392.00213599205017,10.5,21.5224609375
393.0021300315857,10.5,21.5224609375
394.00488090515137,10.5625,21.619140625
395.00473713874817,10.5625,21.6513671875
396.00179409980774,10.625,21.619140625
397.00081610679626,10.625,21.6513671875
398.00475311279297,10.5625,21.619140625
399.00317907333374,10.625,21.619140625
400.00205397605896,10.6875,21.7158203125
401.0024390220642,10.6875,21.5546875
402.00505208969116,10.6875,21.361328125
403.0022361278534,10.6875,21.619140625
404.0013301372528,10.8125,21.6513671875
405.0050950050354,10.8125,21.6513671875
406.0046389102936,10.875,21.6513671875
407.0019791126251,10.9375,21.619140625
408.00115990638733,10.875,21.619140625
409.0036520957947,10.9375,21.5546875
410.0027611255646,10.9375,21.619140625
411.00220799446106,11.0,21.5546875
412.0060930252075,11.0,21.6513671875
413.0009341239929,11.0,21.7158203125
414.0023789405823,11.0,21.5869140625
415.00431990623474,11.0625,21.6513671875
416.00105595588684,11.0625,21.748046875
417.0043740272522,11.0625,21.748046875
418.0008590221405,11.125,21.7802734375
419.0006949901581,11.1875,21.748046875
420.00465297698975,11.1875,21.68359375
421.0026171207428,11.1875,21.6513671875
422.0010919570923,11.1875,21.8125
423.0057830810547,11.1875,21.7158203125
424.0044810771942,11.3125,21.748046875
425.00204396247864,11.3125,21.748046875
426.00080394744873,11.3125,21.748046875
427.00427293777466,11.3125,21.876953125
428.0042860507965,11.375,21.748046875
429.0020649433136,11.4375,21.7802734375
430.00060200691223,11.4375,21.876953125
431.00496792793274,11.4375,21.8125
432.0034770965576,11.5,21.7158203125
433.0013301372528,11.5625,21.8125
434.00056290626526,11.625,22.005859375
435.0044701099396,11.625,21.8447265625
436.0033349990845,11.625,21.876953125
437.0014910697937,11.625,21.876953125
438.00493693351746,11.6875,21.9091796875
439.00386095046997,11.6875,21.9091796875
440.0027189254761,11.75,22.005859375
441.0014760494232,11.75,22.005859375
442.0046920776367,11.75,21.9091796875
443.0038900375366,11.8125,22.0380859375
444.0030999183655,11.8125,21.876953125
445.0004599094391,11.875,22.0380859375
446.00404596328735,11.8125,22.0703125
447.00407791137695,11.9375,22.1025390625
448.00207805633545,11.9375,22.0703125
449.0028119087219,11.9375,22.0703125
450.00374603271484,11.875,22.0380859375
451.00322914123535,12.0,22.1025390625
452.00226306915283,12.0,21.490234375
453.0051779747009,12.0,22.134765625
454.0042669773102,12.0,22.0703125
455.0019750595093,12.0625,22.134765625
456.00044298171997,12.0625,22.0380859375
457.0035939216614,12.125,22.134765625
458.0024700164795,12.125,22.0703125
459.0036549568176,12.1875,22.0380859375
460.0014810562134,12.1875,22.0380859375
461.0034921169281,12.1875,22.134765625
462.0043671131134,12.1875,21.619140625
463.0015139579773,12.1875,22.1025390625
464.00505805015564,12.25,22.134765625
465.00439190864563,12.1875,22.1669921875
466.001580953598,12.25,22.134765625
467.0017731189728,12.25,22.1025390625
468.0005841255188,12.25,22.134765625
469.00359201431274,12.3125,22.1025390625
470.00130796432495,12.375,22.1025390625
471.0053119659424,12.3125,22.0703125
472.0033941268921,12.375,22.0380859375
473.00327610969543,12.4375,22.1025390625
474.00130701065063,12.4375,22.0703125
475.00573897361755,12.4375,22.134765625
476.00406193733215,12.5,22.0380859375
477.00387811660767,12.4375,22.2958984375
478.0006630420685,12.5,22.1025390625
479.00100898742676,12.5625,22.1025390625
480.0027799606323,12.5625,22.134765625
481.0021951198578,12.5625,22.1669921875
482.0008771419525,12.625,21.9736328125
483.00398206710815,12.6875,22.134765625
484.0044231414795,12.75,22.1669921875
485.0017590522766,12.75,22.1025390625
486.004732131958,12.75,22.1025390625
487.0035750865936,12.8125,22.263671875
488.0014851093292,12.875,22.2314453125
489.0011410713196,12.875,22.1025390625
490.00590109825134,12.875,22.2314453125
491.00321102142334,12.9375,22.4248046875
492.00175404548645,12.9375,22.134765625
493.0053770542145,13.0,22.1025390625
494.00497913360596,13.0,22.2314453125
495.0036461353302,13.0625,22.1025390625
496.00163102149963,13.0625,22.1669921875
497.00518703460693,13.0625,22.2314453125
498.00342893600464,13.125,22.2314453125
499.0028600692749,13.125,22.1669921875
500.0007469654083,13.125,22.263671875
501.00451612472534,13.1875,22.263671875
502.00297713279724,13.25,22.134765625
503.0020160675049,13.1875,22.2314453125
504.0051689147949,13.1875,22.1025390625
505.00074911117554,13.1875,22.1669921875
506.0027461051941,13.25,22.263671875
507.00221991539,13.25,22.0703125
508.00497603416443,13.3125,22.1025390625
509.00493597984314,13.375,22.263671875
510.0031590461731,13.4375,22.2958984375
511.00224900245667,13.4375,22.2958984375
512.0049269199371,13.4375,22.263671875
513.0040140151978,13.4375,22.2958984375
514.0015120506287,13.5,22.392578125
515.004879951477,13.5,22.3603515625
516.0038230419159,13.5,22.3603515625
517.0041029453278,13.5625,22.3603515625
518.0028541088104,13.5625,22.3603515625
519.0017850399017,13.5625,22.328125
520.0052890777588,13.5625,22.328125
521.0026710033417,13.625,22.3603515625
522.0005519390106,13.5625,22.328125
523.0054330825806,13.625,22.263671875
524.0049529075623,13.6875,22.263671875
525.0018191337585,13.6875,22.263671875
526.0039060115814,13.75,22.2958984375
527.0055019855499,13.8125,22.2958984375
528.0044829845428,13.8125,22.3603515625
529.0030369758606,13.8125,22.392578125
530.0012700557709,13.875,22.392578125
531.004879951477,13.875,22.45703125
532.001298904419,13.875,22.2958984375
533.0012099742889,13.9375,22.4248046875
534.0046119689941,13.9375,22.2958984375
535.0035960674286,14.0,22.4248046875
536.0023059844971,14.0,22.2958984375
537.006019115448,14.0625,22.4248046875
538.0044169425964,14.0625,22.392578125
539.0019299983978,14.125,22.328125
540.0003900527954,14.0625,22.392578125
541.0046720504761,14.0625,22.2958984375
542.0025470256805,14.1875,22.392578125
